,GeoType,GeoName,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,gwvoteimp,gwvoteimpOppose,teachGW,teachGWOppose,priority,priorityOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose,Areaname,LND010200D,isCounty,POP,totalvotes,other_votes,democrat_votes,republican_votes,republican_pct,vote_color,PopDensity (pop/sq mi),%Democrat,%Republican,Abs_Difference,Political_Affiliation
1001,County,"Autauga County, Alabama",26.008000000000006,73.952,55.775,42.844,56.867,42.488,45.872,18.008,44.682,18.523,49.526,24.921,50.927,15.935,60.885,12.673,54.484,14.752,67.518,31.812,55.844,44.18,65.563,33.094,37.173,61.536,81.12899999999998,18.423,77.79899999999998,21.438,20.452,78.931,48.255,40.916,67.391,32.345,38.342,32.855,58.925,17.91,46.619,41.905,40.836,31.412,49.543,50.472,33.731,53.97,51.152,36.561,54.355,29.051,57.917,27.677,58.486,27.972,46.432,53.569,48.88399999999999,8.061,"Autauga, AL",604.45,True,55869.0,24973.0,865.0,5936.0,18172.0,0.7277,red,92.42948134667878,23.76967124494454,72.76658791494815,48.99691667000361,Repub
1003,County,"Baldwin County, Alabama",28.183000000000003,71.75399999999998,55.663,43.417,55.341,44.298,46.532,18.51,46.145,19.42,50.539,25.128,51.159,16.569000000000006,62.40600000000001,12.422,55.89100000000001,14.705,67.055,31.97,56.75100000000001,43.233,63.57100000000001,34.714,37.439,61.076,81.203,18.036,77.973,21.09,22.693,76.837,49.566,40.476,67.913,32.163000000000004,39.766,33.126,60.59,19.028,46.056,41.122,40.801,33.886,51.56399999999999,48.306,33.873000000000005,55.941,51.285,38.255,54.925,30.23,59.75,27.537,61.206,26.07,44.702,55.298,50.362,8.506,"Baldwin, AL",2026.93,True,223234.0,95215.0,3874.0,18458.0,72883.0,0.7655,red,110.13404508295795,19.3856010082445,76.5457123352413,57.160111326996805,Repub
1005,County,"Barbour County, Alabama",26.345,73.566,65.585,32.573,65.633,33.135,54.785,13.375,52.408,13.839,58.216,16.465,59.351000000000006,10.227,66.143,10.268,59.912,11.601,71.58,26.857,62.07,37.724,62.286,35.783,35.81800000000001,62.6,83.27600000000002,15.944,79.288,19.706,17.021,82.038,52.033,37.399,77.317,22.495,48.699,21.51,66.975,10.476,51.662,38.378,43.893,23.473000000000006,58.408,41.489,42.343,41.26300000000001,57.677,25.948,59.994,19.609,62.346,18.838,64.491,18.005,55.964,44.035,56.914,5.907,"Barbour, AL",904.52,True,24686.0,10469.0,144.0,4871.0,5454.0,0.521,purple,27.291823287489496,46.52784411118541,52.09666634826631,5.5688222370809015,Repub
1007,County,"Bibb County, Alabama",24.045,75.854,56.512,42.354,56.225,43.093,45.715,17.726,43.768,18.781,48.458,24.04,50.2,15.407,59.792,13.058,53.455,15.134,66.303,32.785,54.874,44.985,67.523,30.91,40.07,58.297,80.28,19.314,76.17,23.09,18.506,80.88600000000002,45.381,43.08600000000001,68.113,31.746,38.31,32.556999999999995,57.679,18.117,44.925,43.474,37.581,31.056,48.393,51.514,34.331,52.216,50.411,36.034,52.464,28.991,56.048,27.888,57.614,26.95,46.294,53.706,48.185,8.061,"Bibb, AL",626.16,True,22394.0,8819.0,207.0,1874.0,6738.0,0.764,red,35.76402197521401,21.249574781721282,76.40322031976415,55.153645538042866,Repub
1009,County,"Blount County, Alabama",24.138,75.765,50.679,48.63,51.48,48.133,40.703,21.176,39.329,22.247,44.331,29.214,45.857,19.394,56.769,14.924,50.559,17.487000000000002,62.922,36.667,51.302,48.496,69.064,29.586,41.299,56.78100000000001,78.593,21.14,74.84899999999998,24.479,20.022,79.611,43.047,45.05,61.554,38.352,33.359,40.384,52.372,23.976,43.147,43.863,35.34,34.779,44.333,55.62,30.573,58.695,46.881,42.595,49.577,34.623000000000005,53.9,33.078,54.957,32.199,41.477,58.524,43.14100000000001,9.582,"Blount, AL",650.6,True,57826.0,25588.0,573.0,2156.0,22859.0,0.8933,red,88.88103289271443,8.425824605283728,89.33484445833984,80.90901985305612,Repub
1011,County,"Bullock County, Alabama",28.145,71.795,72.35600000000002,25.698,71.695,27.014,61.982,10.051,59.33,10.113,64.262,11.855,65.85,6.949,70.362,8.305,64.86,9.056,74.988,23.248,67.418,32.35,56.684,41.076,31.976,66.58,85.15799999999999,13.91,81.032,17.945999999999994,15.893,82.973,58.545,31.7,83.226,16.461,57.256,14.632,72.33,6.084,55.475,35.354,49.569,17.982,64.634,35.316,48.724,33.355,63.779,18.908,65.589,13.82,66.488,13.678,69.132,12.853,63.08600000000001,36.913,63.69,4.362,"Bullock, AL",626.06,True,10101.0,4710.0,40.0,3530.0,1140.0,0.242,blue,16.134236335175544,74.94692144373673,24.203821656050955,50.74309978768577,Demo
1013,County,"Butler County, Alabama",26.038,73.914,64.812,33.372,63.792,35.114000000000004,53.46100000000001,13.752,50.951,14.378,54.957,18.354,56.937,11.137,64.575,10.652,58.506,12.031,70.97,27.686,61.365,38.537,63.155,35.049,35.81800000000001,62.645,83.105,16.171,79.303,19.756,17.465,81.64,51.065,38.299,75.961,23.783,45.8,23.617,65.25399999999999,11.606,49.914,39.705,42.768,25.356,55.56800000000001,44.414,40.172,43.555,56.221,27.713,58.277,21.237,61.215,20.388,63.11,19.825,53.89,46.11,55.669,6.117000000000001,"Butler, AL",777.92,True,19448.0,8732.0,105.0,3726.0,4901.0,0.5613,red,25.0,42.67063673843335,56.12688960146587,13.456252863032518,Repub
1015,County,"Calhoun County, Alabama",27.146,72.781,58.254,40.397,59.929,39.314,47.729,17.098,46.495,17.612000000000005,51.834,23.028,52.165,14.664,62.17,12.144,55.869,14.081,68.983,29.517,58.555,40.993,62.585,36.099,36.418,62.176,81.753,17.684,78.393,20.744,20.235,79.10600000000002,49.151,39.84,70.852,29.017,41.38399999999999,30.501,61.33600000000001,17.174,49.208,39.287,42.315,29.494,52.577,47.359,35.35,51.775,52.695,34.178000000000004,55.742,26.602,59.361,24.852,60.654,24.282,49.166,50.834,52.578,7.585,"Calhoun, AL",612.32,True,113605.0,47864.0,1757.0,13242.0,32865.0,0.6866,red,185.53207473216614,27.665886678923616,68.66329600534849,40.99740932642487,Repub
1017,County,"Chambers County, Alabama",25.775,74.169,63.82,34.335,63.274,35.555,52.153,14.396,49.473,15.092,54.102,18.489,55.81399999999999,11.565,64.817,10.833,58.301,12.412,70.582,28.018,60.478,39.49800000000001,63.55,34.657,36.781,61.655,82.42,16.910999999999998,79.218,19.802,17.631,81.483,49.81800000000001,39.571,74.946,24.783,44.547,25.847,64.602,12.533,48.617,41.066,42.589,26.449,54.801,45.178,39.217,45.457,55.112,29.558000000000003,57.463,22.941,59.933,22.19,62.648,20.672,52.67,47.32899999999999,54.755,6.412000000000001,"Chambers, AL",603.11,True,33254.0,13900.0,273.0,5784.0,7843.0,0.5642,red,55.137537099368274,41.611510791366904,56.42446043165468,14.812949640287776,Repub
1019,County,"Cherokee County, Alabama",25.015,74.868,54.631,44.466,54.485,45.163,42.305,19.561,41.183,20.753,46.742,27.261,47.82100000000001,17.683,58.977,13.609000000000002,52.51600000000001,15.813,65.13600000000001,34.327,53.056,46.952,68.038,30.718000000000004,39.923,58.554,79.805,19.93,75.819,23.612,20.45,79.19,45.058,43.584,65.325,34.79,36.682,36.482,56.216,21.712,44.947,42.492,37.246,33.835,46.982,52.928,32.391,56.635,48.938,39.902,51.077,32.611,55.49100000000001,31.293000000000006,56.838,30.204,44.272,55.729,46.367,8.896,"Cherokee, AL",599.95,True,26196.0,10733.0,233.0,1547.0,8953.0,0.8342,red,43.663638636553046,14.413491102208143,83.41563402590143,69.00214292369328,Repub
